site,SAMPLEID,X,Y,HEIGHT,stage
TRC,69,102.26,175.54,,seedling
LREP,123,83.25,175.65,0.1,seedling
LREP,105,38.5,175.72,0.09,seedling
TRC,49E,117.75,175.98,,seedling
LREP,291,108.4,176.03,1.9,sapling
TRC,T21,193.35,176.25,,adult
TRC,P60,7.68,176.35,,seedling
TRC,P89,7.68,176.4,,seedling
TRC,P3,7.63,176.5,,seedling
LREP,9,87.26,176.7,0.17,seedling
LREP,28,66.72,176.85,0.1,seedling
LREP,250,117.05,176.88,0.54,seedling
LREP,252,105.65,176.96,0.3,seedling
TRC,60,56.58,177,,seedling
RA,2264,134.5,177,,adult
LREP,280,44.6,177.3,0.1,seedling
TRC,65,80.75,177.47,,sapling
LREP,243,56.9,177.7,0.1,seedling
LREP,232,91.5,177.85,0.18,seedling
LREP,205,112,178.28,0.18,seedling
LREP,89,110,178.82,2,sapling
LREP,160,107.9,178.96,0.3,seedling
LREP,118,2.05,179,0.12,seedling
LREP,146,5.99,180.19,0.08,seedling
LREP,49,112.84,180.43,13.5,adult
LREP,15,0.8,180.55,0.35,seedling
LREP,236,41.25,181.2,0.1,seedling
RA,1451,135.55,181.3,,adult
RA,1451,135.6,181.3,,adult
LREP,24,58.04,181.35,0.25,seedling
LREP,22,83.05,181.39,0.28,seedling
LREP,264,73.25,181.55,0.17,seedling
LREP,272,11.8,182,0.38,seedling
LREP,265,54.7,182.1,0.85,seedling
LREP,148,42.38,182.15,0.15,seedling
LREP,150,15.77,182.44,0.09,seedling
LREP,273,60,183.26,5,sapling
LREP,116,114.7,183.98,15,adult
LREP,307,22.1,184,8,sapling
LREP,293,51.6,184.2,1.2,sapling
LREP,11,54.24,184.7,0.12,seedling
LREP,34,77.1,184.8,0.1,seedling
LA,3945,28,185,,adult
LREP,48,3.4,185.01,0.12,seedling
LREP,111,101.91,185.38,15,adult
LREP,91,89,185.73,1.8,sapling
LREP,2,104.6,185.76,2,sapling
TRC,3285,109.94,185.8,,adult
LREP,5,45.68,186.16,0.4,seedling
LREP,99,20.91,186.25,4,sapling
LREP,279,14.05,186.61,0.15,seedling
LA,4131,120,187,,adult
RA,2250,87.6,187.1,,adult
RA,T3,87.6,187.1,,adult
LREP,84,77.45,187.2,0.47,seedling
TRC,T22,187.2,187.4,,sapling
LREP,40,53.89,188,0.2,seedling
LREP,233,59.6,188.3,1,sapling
LREP,257,52.1,188.35,0.2,seedling
TRC,P76,153.1,188.35,,seedling
LREP,193,35.45,188.85,9,adult
LREP,159,107.9,188.98,0.3,seedling
TRC,P91,8.55,189,,seedling
LREP,269,53.16,189,0.68,seedling
LA,4133,144,189,,adult
LA,666,150,189,,adult
TRC,P99,9.05,189.5,,seedling
LREP,144,55.57,189.5,0.2,seedling
TRC,3221,144.5,189.5,,adult
LREP,208,93.73,189.65,2.5,sapling
TRC,T23,202,189.9,,adult
LREP,262,41.49,190.15,0.75,seedling
RA,1561,22.35,190.37,,adult
RA,1561,22.4,190.4,,adult
LREP,68,2.65,190.9,0.12,seedling
LA,3336,42,191,,adult
LA,4000,197.5,191,,adult
RA,RF423A,174.7,191.75,,adult
RA,RF423A,174.7,191.8,,adult
LREP,3,106.88,191.91,0.3,seedling
LREP,301,103.5,192,2.1,sapling
RA,1562,20.45,192.1,,adult
RA,1562,20.5,192.1,,adult
LREP,295,12.7,192.4,18,adult
LREP,157,77.45,192.44,0.1,seedling
LA,556,115,193,,adult
LA,147,67,194,,adult
LA,3292,169.5,194,,adult
LREP,137,60.31,194.31,0.45,seedling
LREP,162,23.95,194.46,5,sapling
LREP,129,2.77,194.55,0.08,seedling
LREP,41,98.4,194.65,2,sapling
LREP,64,52.95,194.88,0.4,seedling
TRC,2079,101.2,195,,adult
LA,558,114,195,,adult
LA,3293,169.4,195.1,,adult
LA,3346,30.5,195.2,,adult
LA,135,52,195.5,,adult
LREP,190,67.9,195.8,0.1,seedling
LREP,98,59.55,195.81,0.15,seedling
LREP,261,75.3,195.9,0.17,seedling
LA,3296,162,195.9,,adult
LA,142,59,196,,adult
LREP,221,44.15,196.06,0.2,seedling
LREP,270,82.4,196.15,8,adult
LREP,275,74.21,196.24,0.48,seedling
LREP,298,46.4,196.3,5.5,sapling
LREP,245,61,196.4,0.16,seedling
LA,404,95,197,,adult
LREP,82,0,197.05,0.35,seedling
LREP,90,95.55,197.25,10,adult
TRC,2088,158.5,197.5,,adult
LREP,213,55.5,197.9,0.1,seedling
LA,403,94,198,,adult
LREP,27,99.82,198.2,3,sapling
LREP,138,81.35,198.54,15,adult
TRC,3165,184.9,198.7,,adult
LREP,87,99.82,199.4,0.3,seedling
LA,3348,25.3,199.7,,adult
TRC,T24,112.63,219.2,,adult
